date,price,total_volume,market_cap,coin_name
2021-03-30,32.60363930399464,83127277.57804412,1071104735.2497834,flow
2021-03-31,32.898105636349,59246614.75108006,1115690031.106935,flow
2021-04-01,34.334666181193555,105199979.72033016,1175026021.2579634,flow
2021-04-02,31.081772783039963,52311093.11067844,1061121953.4864546,flow
2021-04-03,29.704596815823617,55892707.802693255,1007405093.0688351,flow
2021-04-04,30.20026665469891,59450608.13410627,1026729655.2968696,flow
2021-04-05,34.852239266263105,100224741.59973136,1182984549.158826,flow
2021-04-06,38.19098298731462,273008474.8767783,1299701434.5466628,flow
2021-04-07,36.12663566110985,85737092.12694854,1270900206.6963608,flow
2021-04-08,34.99347156520907,170164078.26171964,1222094407.830039,flow
2021-04-09,35.397871673825684,69307857.87089205,1244096894.6112764,flow
2021-04-10,35.25578043966799,51440810.299077064,1240446224.5836358,flow
2021-04-11,35.10231804927206,50155059.25428824,1231876102.0998683,flow
2021-04-12,33.635311203717016,52132724.23020668,1186486074.2670963,flow
2021-04-13,38.09130088553629,158151344.7182559,1338236672.2799149,flow
2021-04-14,38.529841461639315,49992191.23851323,1404425855.7069895,flow
2021-04-15,36.84228099274828,41121152.060676694,1336336330.9509716,flow
2021-04-16,38.367555293985745,41770128.03318589,1396139004.977734,flow
2021-04-17,36.535071496215025,48106829.355397835,1321395526.5141547,flow
2021-04-18,35.51018308591235,27803552.46927678,1292700253.1098144,flow
2021-04-19,32.59059200258199,78506434.9731543,1187232376.1335037,flow
2021-04-20,32.19687039086592,40848181.636337645,1171766345.7799492,flow
2021-04-21,34.140955771490034,91365807.2733272,1278944540.1758606,flow
2021-04-22,33.25668940597466,28129278.83071523,1250578102.4704187,flow
2021-04-23,29.936140257332404,38128019.29275387,1132916563.1190393,flow
2021-04-24,27.728797484411217,62164774.35235905,1039619102.6729491,flow
2021-04-25,26.82635357261827,33763361.384167045,1017710507.2016064,flow
2021-04-26,26.694042043539522,28193012.87358414,1004587414.338938,flow
2021-04-27,30.177268274720145,42500653.771994464,1128558860.4191427,flow
2021-04-28,32.80191585794043,62019525.66176051,1272619099.683083,flow
2021-04-29,31.595167685620446,44307205.40435482,1223104368.4757228,flow
2021-04-30,30.56340235404504,44148849.7380506,1186568755.8788335,flow
2021-05-01,31.133788514148524,29699261.787535157,1210110252.254915,flow
2021-05-02,30.784697939386128,24120923.200571015,1199749490.0393093,flow
2021-05-03,30.185761680389668,23324809.425105125,1172976550.5427938,flow
2021-05-04,30.99743251876466,34831732.19815364,1195606245.1479697,flow
2021-05-05,32.20049988863597,128775290.46290551,1296443797.2597704,flow
2021-05-06,33.11965393934889,58770899.85933136,1321865041.4339416,flow
2021-05-07,30.44689569500465,83740690.8629654,1221765776.5898418,flow
2021-05-08,29.39231739017864,66082929.82688167,1174182350.1359904,flow
2021-05-09,28.716763896829743,42592811.30227612,1147475269.480422,flow
2021-05-10,27.412914628885282,66116912.802936085,1096369021.1783783,flow
2021-05-11,26.094577359987028,60827108.5778545,1044421357.2925724,flow
2021-05-12,27.412621814463503,33485772.343448766,1130188083.6117444,flow
2021-05-13,24.791877235190075,36686721.37758874,1039080414.4321295,flow
2021-05-14,24.154280614158164,57518763.68106478,987506323.2272807,flow
2021-05-15,24.982408490659747,29292478.460967567,1027887623.7330515,flow
2021-05-16,24.481664999182417,47137158.565044,1007062785.7682593,flow
2021-05-17,23.529388512612517,36944150.83656093,967524615.4738408,flow
2021-05-18,20.20105873947069,81673271.08220156,836443660.4573314,flow
2021-05-19,21.045760222314986,63621605.26624089,891762678.9003571,flow
2021-05-20,14.576559247643992,155081179.44194263,618049666.8988949,flow
2021-05-21,16.14083887387833,100041949.95198429,679749342.5899388,flow
2021-05-22,15.025787902926055,102205575.69798414,637961844.5543224,flow
2021-05-23,13.81069617135478,50829297.19786037,585859205.0308739,flow
2021-05-24,11.601249589922121,72301511.86890541,489501968.37002593,flow
2021-05-25,13.540825480369966,71241726.54056585,574037005.7548518,flow
2021-05-26,14.533804495015781,122853112.69572635,638381883.8552547,flow
2021-05-27,15.195898666769786,60943646.90105958,662732542.3688267,flow
